Date,Amount,Description,Payee
2024-08-03,-16,TOPGOLF 1010 GREENWOOD BLVD,
2024-08-03,-59.52,EFT DEBIT  MICROSOFT XBOX CA 830 08/03 TIMESTAMP,
2024-08-03,-145.09,Venmo,
2024-08-03,-76.02,Albertsons,
2024-08-03,-9.79,STOP & SHOP #25402 WEST CALDWELL MODATE 01/24 31772803806094 17096869 CARD 34321 WITHDRAWAL DEBIT CARD,
2024-08-02,-103.44,Dunkin' Donuts,
2024-08-02,-72,Uber Eats,
2024-08-02,-143.93,Food Lion,
2024-08-02,-128.12,McDonald's,
2024-07-31,-37.47,CHECKCARD 538036 CLEO AI IN MOUNTAIN VIEWCA 172788892 RECURRING,
2024-07-30,-162.69,McDonald's,
2024-07-29,95,Brigit XX/XX #406735377 PMNT RCVD Brigit,
2024-07-29,-45.47,Starbucks,
2024-07-29,-595.11,INTERAC PURCHASE - 67200 TARGET #052,
2024-07-28,-89,TRANSFER PAYPAL ADD TO BALANCE INTERNET PAYMENT,
2024-07-27,-6.04,Krispy Kreme,
2024-07-27,-66.63,McDonald's,
2024-07-26,-133.56,CARD PURCHASE PAYBYPHONE 804665947 11/19,
2024-07-26,-10.02,70252237 AMAZON - LEN N,
2024-07-26,-5,BLAZE PIZZA #31 SIG PUR 9906,
2024-07-25,-30.9,CITGO,
2024-07-25,-69,Tropical Smoothie Cafe,
2024-07-24,-744,Internal Revenue Service,
2024-07-24,-15.61,Walmart,
2024-08-04,-38,WITHDRAWAL DEBIT CARD CONSUMER DEBIT,
2024-08-05,-5.58,WITHDRAWAL POS POUR,
2024-08-06,-6.28,Walmart,
2024-07-24,-15.61,Walmart,
2024-08-03,-145.09,Venmo,
2024-08-20,-52.34,Uber Eats,
2024-08-02,-72,Uber Eats,
2024-07-25,-69,Tropical Smoothie Cafe,
2024-07-28,-89,TRANSFER ADD TO BALANCE INTERNET PAYMENT,
2024-08-03,-76.02,Albertsons,
2024-08-18,-186,American Airlines,
2024-08-15,-91.53,POS PURCHASE EARNIN RE SC 9671543 349619,
2024-07-29,-95,PMNT RCVD Brigit,
2024-08-04,-19,CASH APP TRANSFER,
2024-08-05,-20,CASH APP TRANSFER,
2024-08-14,496,CASH DEPOSIT,
2024-07-31,-37.47,CHECKCARD 538036 CLEO AI IN MOUNTAIN VIEWCA,
2024-07-25,-30.9,Citgo,
2024-08-18,-9.95,Bojangles,
2024-07-24,-744,Internal Revenue Service,
2024-07-27,-6.04,Krispy Kreme,
2024-07-27,-66.63,McDonald's,
2024-07-30,-162.69,McDonald's,
2024-08-02,-128.12,McDonald's,
2024-08-04,-3.25,MICROSOFT,
2024-08-19,-15.47,Panera Bread,
2024-08-05,-25.98,Planet Fitness,
2024-08-15,-4.78,Popeyes,
2024-08-07,-2.81,POS PUR,
2024-08-21,-21.77,PURCHASE AUTHORIZED ON 05/27,
2024-07-29,-45.47,Starbucks,
2024-08-03,-9.79,WITHDRAWAL DEBIT CARD,
2024-08-03,-16,TOPGOLF 1010 GREENWOOD BLVD,
2024-08-04,-38,WITHDRAWAL DEBIT CARD CONSUMER DEBIT,
2024-08-05,-5.58,WITHDRAWAL POS POUR,
2024-08-06,-6.28,Walmart,
2024-07-24,-15.61,Walmart,
2024-08-03,-145.09,Venmo,
2024-08-20,-52.34,Uber Eats,
2024-08-02,-72,Uber Eats,
2024-07-25,-69,Tropical Smoothie Cafe,
2024-07-28,-89,TRANSFER ADD TO BALANCE INTERNET PAYMENT,
2024-08-03,-76.02,Albertsons,
2024-08-18,-186,American Airlines,
2024-08-15,-91.53,POS PURCHASE EARNIN RE SC 9671543 349619,
2024-07-29,-95,PMNT RCVD Brigit,
2024-08-04,-19,CASH APP TRANSFER,
2024-08-05,-20,CASH APP TRANSFER,
2024-08-14,496,CASH DEPOSIT,
2024-07-31,-37.47,CHECKCARD 538036 CLEO AI IN MOUNTAIN VIEWCA,
2024-07-25,-30.9,Citgo,
2024-08-18,-9.95,Bojangles,
2024-07-24,-744,Internal Revenue Service,
2024-07-27,-6.04,Krispy Kreme,
2024-07-27,-66.63,McDonald's,
2024-07-30,-162.69,McDonald's,
2024-08-02,-128.12,McDonald's,
2024-08-04,-3.25,MICROSOFT,
2024-08-19,-15.47,Panera Bread,
2024-08-05,-25.98,Planet Fitness,
2024-08-15,-4.78,Popeyes,
2024-08-07,-2.81,POS PUR,
2024-08-21,-21.77,PURCHASE AUTHORIZED ON 05/27,
2024-07-29,-45.47,Starbucks,
2024-08-03,-9.79,WITHDRAWAL DEBIT CARD,
2024-08-03,-16,TOPGOLF 1010 GREENWOOD BLVD,
2024-08-04,-38,WITHDRAWAL DEBIT CARD CONSUMER DEBIT,
2024-08-05,-5.58,WITHDRAWAL POS POUR,
2024-08-04,-3.25,MICROSOFT,
2024-08-07,-2.81,POS PUR,
2024-08-21,-21.77,PURCHASE AUTHORIZED ON 05/27,
2024-08-03,-9.79,WITHDRAWAL DEBIT CARD,
